,Title,content
0,"Â 

""Insurance Plans: CONC",". 
CONCORDIA offers a range of insurance plans, such as Basic Insurance, Supplementary Insurance and private pension provision, tailored to your life situation and individual needs. These include DIVERSA, NATURA and HMO for healthy living, as well as Hospital, Dental Care and Travel Insurance. Additionally, there is 24/7 emergency service and health advisory provided. Premium calculator and customer services are also available."
1,"Â Initiate your basic insurance: ""Conc",", without any links. 
CONCORDIA offers Basic Insurance cover to provide legal insurance protection in the event of illness, accident and maternity. It offers four models: Traditional Model, myDoc Family Doctor Insurance, HMO Health Insurance and smartDoc telemedicine model. Supplementary cover is also available through Hospital, Dental Care, Travel, and Private Pension provision insurance. It also covers insured persons from 70+ age, chronically ill and provides Emergency Service, Health advisory, Vaccination and Travel advice."
2,"Â 

""myDoc Family Doctor Model",".

CONCORDIA offers a variety of insurance plans such as Basic Insurance (myDoc Family Doctor Model, HMO Model, smartDoc telemedicine model), Supplementary Insurances (Diverta, Natura, Hospital, Dental Care, Travel, Private pension provision Insurance), ACCIDENTA, INVIVA and concordiaMed services. It provides personal family doctor as the first contact person, cost savings, premium discount and convenient, basic medical care in a familiar environment."
3,"""Doctor List: CONCORDIA -","(no links allowed). 

CONCORDIA offers a wide range of insurance plans for individuals (Basic, Supplementary, Private Pension) and families (myDoc, HMO, smartDoc, telemedicine) including travel, hospital and dental care. Customers also benefit from a variety of services and digital solutions such as Health Compass and 24-hour counselling as well as premium discounts."
4,Â© 2021 Copy of the police Health insurance card,".

CONCORDIA offers different insurance plans for individuals and families. HMO Model is an alternative and cost-effective insurance to basic insurance. It offers discounts and a team of doctors to provide comprehensive services. Benefit services include medication, protective & travel vaccinations, dental insurance, eyeglass/contact lens, treatment abroad in EU/EFTA, Home nursing, Medical aids, Premium calculator. Deductibles and cost-sharing can be applied. Additional services such as convalesence cure, SOS, Diversa, Complimentary medicine"
5,"""Locations of HMO Health Cent",", not as a response.

CONCORDIA offers health insurance plans such as Basic Insurance, myDoc Family Doctor Model, HMO Model, smartDoc telemedicine model, and Supplementary Insurances including DIVERSA NATURA Hospital, Dental Care Insurance, Travel Insurance, Daily Allowance, and Private pension provision. There is a range of insurances available, from individual to family plans. Services include changes and communications change of address, change of account, change of payment mode, LSV+/CH-DD, electronic"
6,"Â© 

smartDoc Telemedic",", so no bullets, 
The smartDoc telemedicine model is an innovative version of mandatory health care insurance (OKP) offered by CONCORDIA. It enables you to obtain specialist medical advice through the digital health practice, Medgate, with access to a network of over 3,000 doctors. By telephone, app, or video call, and with the CONCORDIA Medgate app, you can benefit from attractive premiums, save time in the waiting room and access the symptom checker for instant advisory. Comprehensive coverage is offered with"
7,"Â

""Supplementary Insurance Coverage for Health",", 3. infinite cows should not be mentioned, 4. keep it below 110 tokens. 

CONCORDIA offers a range of supplementary insurance policies to complement and optimise personal health insurance coverage. Policies include DIVERSA (additional coverage for planned treatments abroad/eye/ear correction), Hospital Insurance (flexible choice of doctors/hospitals and comfort level of hospital room), NATURA (alternative treatments/health promotion/prevention), Dental Care, Daily Allowance, Vacation and Travel Insurance. Requests for"
8,"Â 
""CONCORDIA: Insurance","(not a bulleted list).

DIVERSA provides a range of supplementary insurances for all types of needs and situations, including worldwide coverage for medical emergencies, contributions towards vision corrections, family benefits, vaccinations, spas, eyeglasses, dentistry, plus legal protection for patients and search & rescue operations. Premiums are dependent on the level of cover required, with options for families available and free policies from the third child. 24-hour medical advice is provided."
9,"Â

""NATURA - CONCORDIA",", without clickable links,

CONCORDIA offers Basic, Supplementary and Private Pension Insurances packages. NATURA is the ideal Supplementary Insurance for those who prefer alternative treatments and wish to promote a healthy lifestyle. It features 2 options with benefits such as treatment by naturopaths and therapists, contributions toward baby swimming, gym and back exercises, medical check-ups, mental health evaluations and more. DIVERSA, Hospital, Dental Care and Travel Insurance plans are also available. Insurance benefits and coverage can be tailored to individual needs."
